CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL558241	565674	CHEMBL558241	565674		33	425.48	3.11	79.42	0	O[C@@H]1CCn2c3ccccc3c4c5CNC(=O)c5c6c7ccccc7n(CC[C@@H]1O)c6c24	2684761	IC50	=	12	nM	7.92				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	578283	CHEMBL1053840	B	Inhibition of JAK3 expressed in insect Sf21 cells assessed as inhibition of biotinylated substrate phosphorylation	1	Scientific Literature				Intermediate	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			47854	CHEMBL1152924	19427203	Bioorg. Med. Chem. Lett.	2009	19	12	3333
CHEMBL559787	558554	CHEMBL559787	558554		32	397.43	2.99	79.42	0	O[C@@H]1Cn2c3ccccc3c4c5CNC(=O)c5c6c7ccccc7n(C[C@@H]1O)c6c24	2684762	IC50	=	6	nM	8.22				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	578283	CHEMBL1053840	B	Inhibition of JAK3 expressed in insect Sf21 cells assessed as inhibition of biotinylated substrate phosphorylation	1	Scientific Literature				Intermediate	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			47854	CHEMBL1152924	19427203	Bioorg. Med. Chem. Lett.	2009	19	12	3333
CHEMBL577944	579271	CHEMBL577944	579271		11	338.37	.37	128.32	0	NC(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34	2981458	IC50	=	500	nM	6.3				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL2312654	1511703	CHEMBL2312654	1511703		21	461.39	5.65	79.11	1	CN(C)C1CCC(CC1)Nc2nc(Nc3cc(Cl)cc(Cl)c3)ncc2c4onc(C)c4	12631667	IC50	=	5300	nM	5.28				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	933952	CHEMBL2317770	B	Inhibition of JAK3 (unknown origin) in presence of ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	71957	CHEMBL2311250	23312943	Bioorg. Med. Chem. Lett.	2013	23	4	1051
CHEMBL222028	367936	CHEMBL222028	367936		15	315.37	3.81	55.63	0	C[C@H](Nc1ccnc(n1)n2ccc3ccncc23)c4ccccc4	1807605	IC50	>	10000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	424265	CHEMBL908417	B	Inhibition of JAK3	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			34884	CHEMBL1139695	16934457	Bioorg. Med. Chem. Lett.	2006	16	21	5633
CHEMBL366266	308995	CHEMBL366266	308995		5, JP539654	411.46	2.48	80.95	0	O=C1NC(=O)C(=C1Nc2ccccc2)c3cn(CCCn4ccnc4)c5ccccc35	13901968	IC50	=	17	nM	7.77				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1288559	CHEMBL3118992	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76911	CHEMBL3112442	24461299	Bioorg. Med. Chem. Lett.	2014	24	4	1116
CHEMBL1093468	621617	CHEMBL1093468	621617		9	547.62	3.58	116.3	1	COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CC(=O)N5CCS(=O)(=O)CC5)cc4)c3n2	3247746	IC50	=	280	nM	6.55				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	625436	CHEMBL1116985	B	Inhibition of recombinant GST tagged JAK3 protein after 60 mins using FITC-GGEEEEYFELVKKKK-NH2 substrate	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			50722	CHEMBL1156975	20231096	Bioorg. Med. Chem. Lett.	2010	20	8	2609
CHEMBL1288001	714392	CHEMBL1288001	714392		19	358.35	3.68	89.07	0	CN(C)c1cccc(Nc2nc(N)n(n2)C(=O)c3c(F)cccc3F)c1	3605057	IC50	=	2000	nM	5.7				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	686111	CHEMBL1292867	B	Inhibition of human recombinant JAK3 by TR-FRET assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	54135	CHEMBL1287810	21106455	Bioorg. Med. Chem. Lett.	2010	20	24	7454
CHEMBL1288033	714425	CHEMBL1288033	714425		22	351.36	3.31	112.13	0	CCOC(=O)c1cccc(Nc2nc(N)n(n2)C(=O)c3ccccc3)c1	3605060	IC50					Not Determined			BAO_0000190			686111	CHEMBL1292867	B	Inhibition of human recombinant JAK3 by TR-FRET assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			54135	CHEMBL1287810	21106455	Bioorg. Med. Chem. Lett.	2010	20	24	7454
CHEMBL232147	396959	CHEMBL232147	396959		19	477.56	1.85	117.23	0	C[C@H](Nc1nc(nc2c1cc(C(=O)N3CCN(C)CC3)n2C)n4cnc5ccncc45)C(C)(C)O	1964026	IC50	=	142	nM	6.85				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	446752	CHEMBL897051	B	Inhibition of JAK3 by kinase-Glo luminescent assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			36728	CHEMBL1148837	17189692	Bioorg. Med. Chem. Lett.	2007	17	5	1250
