CC(C)Nc1ncnc2oc(c3ccc(OCCN4CCCC4)cc3)c(c5ccccc5)c12,C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23,CHEMBL247866,CHEMBL247468,[*:1]C(C)C>>[*:1]CCN1CCNCC1,[*:1]Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c21
C[C@@H](Oc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,C[C@H](Oc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,CHEMBL1650727,CHEMBL1650726,[*:1]O[C@H]([*:2])c1ncc([*:3])cn1>>[*:1]O[C@@H]([*:2])c1ncc([*:3])cn1,[*:2]C.[*:3]F.[*:1]c1ncc(Cl)c(Nc2cc(C)[nH]n2)n1
CNC(=O)c1ccc(Nc2oc3c(cccc3n2)c4cc(F)c(CN5CCOCC5)c(F)c4)cc1C,CN(C)C(=O)c1ccc(Nc2oc3c(cccc3n2)c4cc(F)c(CN5CCOCC5)c(F)c4)cc1C,CHEMBL1082022,CHEMBL1080159,[*:1]NC(=O)c1ccc([*:2])cc1[*:3]>>[*:2]c1ccc(C(=O)N([*:1])C)c([*:3])c1,[*:3]C.[*:1]C.[*:2]Nc1nc2cccc(-c3cc(F)c(CN4CCOCC4)c(F)c3)c2o1
CNC(=O)c1ccc(Nc2oc3c(cccc3n2)c4cc(F)c(CN5CCOCC5)c(F)c4)cc1C,CN(C)C(=O)c1ccc(Nc2oc3c(cccc3n2)c4cc(F)c(CN5CCOCC5)c(F)c4)cc1C,CHEMBL1082022,CHEMBL1080159,[*:1]NC(=O)c1ccc([*:2])cc1[*:3]>>[*:2]c1ccc(C(=O)N([*:1])[*:3])c(C)c1,[*:3]C.[*:1]C.[*:2]Nc1nc2cccc(-c3cc(F)c(CN4CCOCC4)c(F)c3)c2o1
O=C1NC(=O)C(=C1Nc2ccc(OCCCn3ccnc3)cc2)c4c[nH]c5ccccc45,O=C1NC(=O)C(=C1Nc2ccc(OCCn3ccnc3)cc2)c4c[nH]c5ccccc45,CHEMBL3114769,CHEMBL3114768,[*:1]CCCO[*:2]>>[*:1]CCO[*:2],[*:2]c1ccc(NC2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc1.[*:1]n1ccnc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL584944,[*:1]C([*:2])C>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CHEMBL583895,CHEMBL570686,[*:1]C([*:2])C>>[*:1]C[*:2],[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL569966,[*:1]C([*:2])C>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL570217,[*:1]C([*:2])C>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL569966,[*:1]C([*:2])C>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL584944,[*:1]C([*:2])C>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL570217,[*:1]C([*:2])C>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CHEMBL584944,CHEMBL570686,[*:1]C([*:2])CCC>>[*:1]C[*:2],[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL583895,[*:1]C([*:2])CCC>>[*:1]C([*:2])C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL569966,[*:1]C([*:2])CCC>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL570217,[*:1]C([*:2])CCC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL569966,[*:1]C([*:2])CCC>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL570217,[*:1]C([*:2])CCC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570686,CHEMBL583895,[*:1]C[*:2]>>[*:1]C([*:2])C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570686,CHEMBL569966,[*:1]C[*:2]>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570686,CHEMBL570217,[*:1]C[*:2]>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570686,CHEMBL569966,[*:1]C[*:2]>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570686,CHEMBL584944,[*:1]C[*:2]>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
Nc1nn2cccnc2c1c3cc(NCc4ccc(F)cc4)ncn3,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570686,CHEMBL570217,[*:1]C[*:2]>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL569966,[*:1]C([*:2])C>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL570217,[*:1]C([*:2])C>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL569966,[*:1]C([*:2])C>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL584944,[*:1]C([*:2])C>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL583895,CHEMBL570217,[*:1]C([*:2])C>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL569966,CHEMBL570217,[*:1]C([*:2])CC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL569966,CHEMBL584944,[*:1]C([*:2])CC>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL569966,CHEMBL570217,[*:1]C([*:2])CC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570217,CHEMBL569966,[*:1]C([*:2])C(C)C>>[*:1]C([*:2])CC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL570217,CHEMBL584944,[*:1]C([*:2])C(C)C>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL569966,CHEMBL584944,[*:1]C([*:2])CC>>[*:1]C([*:2])CCC,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL569966,CHEMBL570217,[*:1]C([*:2])CC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL570217,[*:1]C([*:2])CCC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)c(C)c4)c3n2,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2,CHEMBL1093454,CHEMBL1088856,[*:1]CN1CCOCC1>>[*:1]C(=O)N1CCOCC1,[*:1]c1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc32)cc1C
